target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,IS,2026-04-05,3,quantile,0.5,4.802172511111621,2026-03-25
ILI incidence,IS,2026-04-12,4,quantile,0.5,3.5116796111604462,2026-03-25
ILI incidence,IS,2026-03-22,1,quantile,0.55,3.4356495368631936,2026-03-25
ILI incidence,IS,2026-03-29,2,quantile,0.55,3.4290493691912864,2026-03-25
ILI incidence,IS,2026-04-05,3,quantile,0.55,4.873246383405029,2026-03-25
ILI incidence,IS,2026-04-12,4,quantile,0.55,3.558307383157968,2026-03-25
ILI incidence,IS,2026-03-22,1,quantile,0.6,3.4886147072001097,2026-03-25
ILI incidence,IS,2026-03-29,2,quantile,0.6,3.526891355821527,2026-03-25
ILI incidence,IS,2026-04-05,3,quantile,0.6,4.975733094787932,2026-03-25
ILI incidence,IS,2026-04-12,4,quantile,0.6,3.607603678740219,2026-03-25
ILI incidence,IS,2026-03-22,1,quantile,0.65,3.529586416118301,2026-03-25
ILI incidence,IS,2026-03-29,2,quantile,0.65,3.677976388546468,2026-03-25
ILI incidence,IS,2026-04-05,3,quantile,0.65,5.0272634149818165,2026-03-25
ILI incidence,IS,2026-04-12,4,quantile,0.65,3.6313796449187055,2026-03-25
ILI incidence,IS,2026-03-22,1,quantile,0.7,3.605734450603701,2026-03-25
ILI incidence,IS,2026-03-29,2,quantile,0.7,3.7531350774536456,2026-03-25
ILI incidence,IS,2026-04-05,3,quantile,0.7,5.103630542269665,2026-03-25
ILI incidence,IS,2026-04-12,4,quantile,0.7,3.7238471104262922,2026-03-25
ILI incidence,IS,2026-03-22,1,quantile,0.75,3.664530554558344,2026-03-25
ILI incidence,IS,2026-03-29,2,quantile,0.75,3.825716229891856,2026-03-25
ILI incidence,IS,2026-04-05,3,quantile,0.75,5.285196158610936,2026-03-25
ILI incidence,IS,2026-04-12,4,quantile,0.75,3.7976939877602343,2026-03-25
ILI incidence,IS,2026-03-22,1,quantile,0.8,3.683871663426644,2026-03-25
ILI incidence,IS,2026-03-29,2,quantile,0.8,3.911594936921825,2026-03-25
ILI incidence,IS,2026-04-05,3,quantile,0.8,5.4629635268327075,2026-03-25
ILI incidence,IS,2026-04-12,4,quantile,0.8,3.8763917307479683,2026-03-25
ILI incidence,IS,2026-03-22,1,quantile,0.85,3.755300042509908,2026-03-25
ILI incidence,IS,2026-03-29,2,quantile,0.85,4.047373066705875,2026-03-25
ILI incidence,IS,2026-04-05,3,quantile,0.85,5.583352179471329,2026-03-25
ILI incidence,IS,2026-04-12,4,quantile,0.85,3.892010915574061,2026-03-25
ILI incidence,IS,2026-03-22,1,quantile,0.9,3.949642818121505,2026-03-25
ILI incidence,IS,2026-03-29,2,quantile,0.9,4.192527723387109,2026-03-25
ILI incidence,IS,2026-04-05,3,quantile,0.9,5.82675195506277,2026-03-25
ILI incidence,IS,2026-04-12,4,quantile,0.9,3.936823483853742,2026-03-25
ILI incidence,IS,2026-03-22,1,quantile,0.95,4.294546742379291,2026-03-25
ILI incidence,IS,2026-03-29,2,quantile,0.95,4.3947262227585915,2026-03-25
ILI incidence,IS,2026-04-05,3,quantile,0.95,6.169812447375084,2026-03-25
ILI incidence,IS,2026-04-12,4,quantile,0.95,4.007352485305597,2026-03-25
ILI incidence,IS,2026-03-22,1,quantile,0.975,4.452100754779764,2026-03-25
ILI incidence,IS,2026-03-29,2,quantile,0.975,4.514295006588775,2026-03-25
ILI incidence,IS,2026-04-05,3,quantile,0.975,6.368621209269095,2026-03-25
ILI incidence,IS,2026-04-12,4,quantile,0.975,4.094083776605886,2026-03-25
ILI incidence,IS,2026-03-22,1,quantile,0.99,4.573426688664098,2026-03-25
ILI incidence,IS,2026-03-29,2,quantile,0.99,5.194079922307815,2026-03-25
ILI incidence,IS,2026-04-05,3,quantile,0.99,6.5609201109960775,2026-03-25
ILI incidence,IS,2026-04-12,4,quantile,0.99,4.603413374314796,2026-03-25
ILI incidence,IS,2026-03-22,1,median,,3.3653438260123556,2026-03-25
ILI incidence,IS,2026-03-29,2,median,,3.368084050666025,2026-03-25
ILI incidence,IS,2026-04-05,3,median,,4.802172511111621,2026-03-25
ILI incidence,IS,2026-04-12,4,median,,3.5116796111604462,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.01,2.728038988900744,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.01,3.1806447404245453,2026-03-25
ILI incidence,IE,2026-04-05,3,quantile,0.01,3.441913142882403,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.01,3.0524184495230586,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.025,4.215860384935527,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.025,4.46036076163191,2026-03-25
ILI incidence,IE,2026-04-05,3,quantile,0.025,4.170022119244338,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.025,3.4307132860634617,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.05,4.542189257515371,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.05,4.616389458949357,2026-03-25
ILI incidence,IE,2026-04-05,3,quantile,0.05,4.445612199150131,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.05,3.5531290690279387,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.1,4.77911777243808,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.1,4.964021738073672,2026-03-25
ILI incidence,IE,2026-04-05,3,quantile,0.1,4.697222359651868,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.1,3.8665064221015344,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.15,5.0936322515078905,2026-03-25
ILI incidence,IE,2026-03-29,2,quantile,0.15,5.216821199003871,2026-03-25
ILI incidence,IE,2026-04-05,3,quantile,0.15,4.972528987181987,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.15,4.175775180811529,2026-03-25
ILI incidence,IE,2026-03-22,1,quantile,0.2,5.412638145618551,2026-03-25
