target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,LU,2026-03-22,1,quantile,0.3,4627.495763962734,2026-03-25
ILI incidence,LU,2026-03-29,2,quantile,0.3,4307.556940646558,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.3,3954.2133739540336,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.3,3555.88566642895,2026-03-25
ILI incidence,LU,2026-03-22,1,quantile,0.35,4981.309573813552,2026-03-25
ILI incidence,LU,2026-03-29,2,quantile,0.35,4737.452599903388,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.35,4304.803529919793,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.35,3854.6696081205155,2026-03-25
ILI incidence,LU,2026-03-22,1,quantile,0.4,5364.410455043806,2026-03-25
ILI incidence,LU,2026-03-29,2,quantile,0.4,5134.436229534392,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.4,4608.190579876531,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.4,4185.305566928212,2026-03-25
ILI incidence,LU,2026-03-22,1,quantile,0.45,5695.760074462649,2026-03-25
ILI incidence,LU,2026-03-29,2,quantile,0.45,5421.290243479448,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.45,4886.824978722037,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.45,4489.134737260871,2026-03-25
ILI incidence,LU,2026-03-22,1,quantile,0.5,5932.447327518144,2026-03-25
ILI incidence,LU,2026-03-29,2,quantile,0.5,5666.481397738455,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.5,5124.926591196854,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.5,4800.8881411128405,2026-03-25
ILI incidence,LU,2026-03-22,1,quantile,0.55,6255.1866651191385,2026-03-25
ILI incidence,LU,2026-03-29,2,quantile,0.55,5982.259268117382,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.55,5408.775729981095,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.55,5048.908339462925,2026-03-25
ILI incidence,LU,2026-03-22,1,quantile,0.6,6656.169869591379,2026-03-25
ILI incidence,LU,2026-03-29,2,quantile,0.6,6258.0496283695375,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.6,5812.500747640967,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.6,5291.388153923143,2026-03-25
ILI incidence,LU,2026-03-22,1,quantile,0.65,6925.872350605849,2026-03-25
ILI incidence,LU,2026-03-29,2,quantile,0.65,6563.965446248196,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.65,6114.584369292696,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.65,5605.950952233365,2026-03-25
ILI incidence,LU,2026-03-22,1,quantile,0.7,7330.663800568486,2026-03-25
ILI incidence,LU,2026-03-29,2,quantile,0.7,7001.693989583006,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.7,6491.1244958475145,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.7,5984.1810895111,2026-03-25
ILI incidence,LU,2026-03-22,1,quantile,0.75,7657.719544320534,2026-03-25
ILI incidence,LU,2026-03-29,2,quantile,0.75,7284.791124494843,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.75,6846.734005794438,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.75,6355.340386677033,2026-03-25
ILI incidence,LU,2026-03-22,1,quantile,0.8,8053.831572324742,2026-03-25
ILI incidence,LU,2026-03-29,2,quantile,0.8,7727.363228216497,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.8,7209.235750242212,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.8,6808.7668342589595,2026-03-25
ILI incidence,LU,2026-03-22,1,quantile,0.85,8501.392878672674,2026-03-25
ILI incidence,LU,2026-03-29,2,quantile,0.85,8248.603598515685,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.85,7623.8772478447445,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.85,7294.8050815406905,2026-03-25
ILI incidence,LU,2026-03-22,1,quantile,0.9,9192.529036955866,2026-03-25
ILI incidence,LU,2026-03-29,2,quantile,0.9,8869.0360322807,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.9,8325.046313770215,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.9,7920.114454589285,2026-03-25
ILI incidence,LU,2026-03-22,1,quantile,0.95,10103.99304716687,2026-03-25
ILI incidence,LU,2026-03-29,2,quantile,0.95,9867.524119271831,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.95,9655.613938858129,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.95,8951.506797342985,2026-03-25
ILI incidence,LU,2026-03-22,1,quantile,0.975,10741.269235110361,2026-03-25
ILI incidence,LU,2026-03-29,2,quantile,0.975,10614.191857567821,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.975,10324.012247263401,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.975,9862.709636368356,2026-03-25
ILI incidence,LU,2026-03-22,1,quantile,0.99,11672.758538156493,2026-03-25
ILI incidence,LU,2026-03-29,2,quantile,0.99,11366.960757552437,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.99,11205.600564284376,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.99,10418.016293331362,2026-03-25
ILI incidence,LU,2026-03-22,1,median,,5932.447327518144,2026-03-25
ILI incidence,LU,2026-03-29,2,median,,5666.481397738455,2026-03-25
ILI incidence,LU,2026-04-05,3,median,,5124.926591196854,2026-03-25
ILI incidence,LU,2026-04-12,4,median,,4800.8881411128405,2026-03-25
ILI incidence,NO,2026-03-22,1,quantile,0.01,7.48155999195299,2026-03-25
